отзывы,разметка
"Смартфон просто подкупаю, только покупкой очень доволен!",1
"Фотографии ожидаемы, стремительный рост впечатляет. Портреты профессиональны, хотя я не эксперт.",1
"Фотографии получаются отличные, зум впечатляет. Портреты получаются профессиональные, хотя Йод не специалист.",1
"Фотографии отличные, о чем говорит зум. Портреты получаются профессиональные, хотя я не специалист.",1
"Фотографии отличные, зум впечатляет. Портреты сделаны профессионально, хотя Unity не является экспертом.",1
"Он ничего не искажает на фотографиях или на телевидении, информационные технологии позволяют делать отличные макроснимки.",1
"Он ничего не искажает в видеороликах о состоянии бобра, делает отличные макроснимки.",1
"Он ничего не искажает на снимках операции, делает четкие макроснимки.",1
"Он ничего не искажает на фотографиях или видео, информационные технологии позволяют делать отличные макроснимки.",1
"Отличный наушник. Да, в большей степени дороже многих. Но информационные технологии того стоят",1
"Отличный телефон. Да, дороже многих. Но оно того заслуживает",1
"Отличный телефон. Да, дороже многих. Но это того стоит, информационные технологии",1
"Отличный телефон. Да, в большей степени дороже многих. Просто это стоит информационных технологий",1
"хорошая обложка, хорошее исполнение, потрясающая цветопередача, задняя часть настраивается по вашему желанию",1
"респектабельный проекционный экран, хорошая производительность, отличная цветопередача, возможность настройки по вашему желанию",1
"хорошее сито, хорошая производительность, отличная цветопередача, задняя часть изготавливается на заказ по вашему желанию",1
"отличный экран, безопасная работа, отличная цветопередача, возможность изготовления по вашему желанию",1
"В эксплуатации полтора года. Могу сказать, что лучшего телефона вы не увидите. Не тормозит, не вылетает, все четко и стабильно. Я очень доволен покупкой.",1
"В использовании полтора года. Могу сказать, что лучше телефона не найти. Не тормозит, не вылетает, все четко и стабильно. Я очень доволен покупкой.",1
"В использовании полтора года. Могу сказать, что лучшего телефона вы не найдете. Не тормозит, не ломается, все четко и стабильно. Я очень доволен рычагом.",1
"В эксплуатации полтора года. Могу сказать, что лучшего телефона вы не найдете. Не тормозит, не конфликтует, все четко и стабильно. Я очень доволен покупкой.",1
"Первые пару дней после покупки пытался найти минусы, так как не думал, что за эту цену можно получить что-то действительно достойное. Однако сделать это мне так и не удалось, ведь аппарат шикарен во всех отношениях.",1
"Первые пару дней после покупки пытался найти минусы, так как не думал, что за эту цену можно получить что-то действительно достойное. Однако сделать это мне так и не удалось, ведь аппарат шикарен во всех отношениях.",1
"Первые пару дней после покупки пытался найти минусы, так как не думал, что за эту цену можно выдержать что-то действительно достойное. Однако сделать это мне так и не удалось, ведь аппарат шикарен во всех отношениях.",1
"Первые пару дней после покупки пытался найти минусы, так как не думал, что за эту цену можно получить что-то действительно желанное. Однако Йоду так и не удалось этого сделать, ведь аппарат шикарен во всех отношениях.",1
"Купил его на замену старому QPhone Pro MAX и много внимания уделил памяти и более-менее хорошей производительности. Очень хороший вариант для своей платной категории, просто я бы не советовал его покупать, если вы большую часть времени проводите за играми (особенно тяжелыми).",1
"Я купил его в качестве замены старому QPhone Pro MAX и уделил большое внимание памяти и более-менее хорошей производительности. Очень хороший вариант для своей ценовой категории, но я бы не советовал покупать инфотехнику, если большую часть времени вы проводите за играми (особенно тяжелыми).",1
"Купил его на замену старому QPhone Pro MAX и уделил много внимания памяти и более-менее хорошей производительности. Очень хороший вариант для своей категории урона, но я бы не рекомендовал его покупать, если вы большую часть времени проводите за играми (особенно тяжелыми).",1
"Один купил его на замену старому QPhone Pro MAX и уделил много внимания памяти и в большей или меньшей степени эффективной производительности. Очень хороший вариант для своей ценовой категории, но покупать его, если вы большую часть времени проводите за играми (особенно тяжелыми), я бы не советовал.",1
"Приобрёл его взамен предыдущей модели, олицетворяющей утерянное случайно по вине путаницы, покупкой доволен.",1
"Купила взамен утерянного по ошибке предыдущего манекена, покупкой довольна.",1
"Покупаю взамен предыдущей модели, стоимость которой случайно утеряна по причине путаницы, покупкой доволен.",1
"Купил его взамен предыдущей модели, которая потерялась от удара из-за путаницы, покупкой доволен.",1
"Я купил его в подарок. Имениннику понравилось. По сравнению с более инновационными моделями он намного легче. Заряда хватает минимум на 2 дня. Цветопередача отличная, фотографии получаются великолепными. Рекомендую к покупке!",1
"Я купил его в подарок. Мальчику в день рождения это нравится. По сравнению с более современными моделями он намного легче. Заряда хватает минимум на 2 дня. Цветопередача отличная, фотографии получаются отличные. Я советую покупать!",1
"Информационные технологии купил в подарок. Имениннику нравились информационные технологии. По сравнению с более современными моделями он намного легче. Заряда хватает минимум на 2 дня. Цветопередача отличная, фотографии получаются великолепными. Рекомендую к покупке!",1
"Я купил его в подарок. Имениннику понравилось. По сравнению с более современными моделями он намного легче. Заряда хватает минимум на двое суток. Цветопередача отличная, фотографии получаются отличные. Рекомендую к покупке!",1
"Наушники отличные, пользоваться информационными технологиями одно удовольствие. Качество фильма и звук отличные.",1
"Телефон отличный, играть на нем одно удовольствие. Мысленная картинка и звук превосходны.",1
"Телефон замечательный, играть на нем одно удовольствие. Картинка и звук просто потрясающие.",1
"Телефон на ура, играть на нем одно удовольствие. Качество экспозиции и звук великолепные.",1
"Пользуюсь этим твистом уже больше 3-х месяцев, и воплощаю более чем загашенный",1
"Йодин акцепт, пользуюсь этим аппаратом более 3-х месяцев, и я более чем доволен.",1
Пользуюсь этим устройством более 3 месяцев и более чем доволен.,1
Я пользуюсь этим устройством более 3 месяцев и более чем утолен.,1
"При транспортировке ни разу не повредился, коробка целая, ни один поворотный момент не погнут и т. д., телефон легче моего предыдущего наушника, но экран вроде по размеру такой же",1
"Информатика при транспортировке ни разу не повредилась, коробка целая, ни один уголок не погнут и т. д., телефон легче моего предыдущего телефона, просто экран вроде по размеру такой же",1
"Раньше при транспортировке не повредился, коробка целая, ни один уголок не погнут и т. д., телефон легче моего предыдущего телефона, но экран вроде бы такой же по размеру.",1
"При транспортировке ни разу не повредился, коробка целая, ни одного углубления не погнуто и т. д., телефон легкий, чем мой предыдущий телефон, но экран вроде бы такой же по размеру",1
"Отличный смартфон для повседневной жизни. Хорошо работает с социальными электронными сетями, фотографиями, криками и т. д.",1
"Первоклассный смартфон для повседневной жизни. Хорошо работать с соцсетями, фотографиями, звонками и т. д.",1
"Отличный смартфон для повседневной жизни. Комфортно работает с соцсетями, фотографиями, звонками и т.д.",1
"Отличный смартфон для повседневной жизни. Хорошо работает с социальными сетями, фотографиями, звонками и т. д.",1
безопасное решение экрана. фотографии высокого качества. Ане предлагает вам купить его.,1
фактически разрешение экрана. фотографии игрового качества. Советую вам купить его.,1
хорошее кинематографическое разрешение. высокохарактерная картина. Я предлагаю вам купить его.,1
хорошая разрешающая способность экрана. фотографии в высоком тоне. Я предлагаю вам купить информационные технологии.,1
"Бомбить! !! Мы идем за информационными технологиями, ответим добросовестно",1
"Бомбический калориметр! !! Мы идем на это, сделаем добросовестно",1
"Бомбический калориметр! !! Надеемся, что он будет служить верой и правдой.",1
"Бомбить! !! Мы надеемся, что он будет служить надежно",1
"Смартфон для уверенности, очень помогает во время работы",1
"Смартфон для уверенности, очень помогает во время работы",1
"Классный смартфон, дребезжащий, помогает во время работы",1
"Классный смартфон, очень помогает в работе",1
"честная и лояльная зарядка, классная камера",1
"простая и быстрая зарядка, классная телекамера",1
"хорошая и быстрая зарядка, хладнокровная камера",1
"благородная и расточительная зарядка, нервная камера",1
"Отличный телефон всем рекомендую. В комплекте: фонарь, зарядное устройство. За свои деньги этот флагман просто идеален.",1
"Отличный телефон всем рекомендую. В комплекте: чехол, скакун. За свои деньги этот флагман просто идеален.",1
"Отличный телефонный аппарат всем рекомендую. В комплекте: корпус, зарядное устройство. За свои деньги этот флагман просто идеалистичен.",1
"Отличный телефон всем рекомендую. В комплекте: экземпляр, курсер. За свои деньги этот флагман просто идеален.",1
достойный аппарат с таким ЭЛТ-экраном,1
приличный аппарат с таким экраном,1
вроде бы аппарат с таким экраном,1
достойная крутилка с таким экраном,1
"Обновление QPhone Pro MAX первого поколения, и, боже мой, это потрясающе. Интерфейс и камеры потрясающие, как и отношение производителя к пользователю. Я думаю, что это прослужит мне долгое время. И да, наконец-то вам не придется беспокоиться о случайном попадании влаги на телефон.",1
"Продвигайте QPhone Pro MAX первого поколения, и, боже мой, это потрясающе. Интерфейс и камеры потрясающие, как и позиция производителя по отношению к пользователю. Я думаю, что это прослужит мне долго. И да, наконец-то вам не придется беспокоиться о случайном попадании влаги на телефон.",1
"Обновление QPhone Pro MAX начального поколения, и, боже мой, это потрясающе. Интерфейс и камеры потрясающие, как и отношение производителя к пользователю. Я думаю, что это прослужит мне долго. И да, наконец-то вам не придется беспокоиться о том, что случайно попадет влага на телефон.",1
"Обновление QPhone Pro MAX первого поколения, и, боже мой, это потрясающе. Интерфейс и камеры потрясающие, как и отношение производителя к пользователю. Я думаю, что информационные технологии прослужат мне долго. И да, наконец-то вам не придется беспокоиться о случайном попадании влаги на телефон.",1
"Я очень горжусь телефоном, он хорошо починен, модный, памяти много, все работает отлично, я очень доволен )",1
"Телефоном очень доволен, удобный, модный, памяти много, все работает отлично, Сингл очень доволен )",1
"Телефоном очень доволен, удобный, стильный, в этом плане запас хода большой, все работает отлично, я очень доволен )",1
"Телефоном очень доволен, удобный, стильный, памяти много, все работает отлично, не мог нарадоваться )",1
"До этого у меня был непревзойденный аналог, но я поменял его на QPhone Pro MAX, и разница, конечно, колоссальная. Наушники супер, недостатков трийодтиронина не обнаружил.",1
"До этого поддерживал аналог, но поменял на мыло IPhone Pro, и разница, конечно, колоссальная. Телефон супер, дефектов не обнаружил.",1
"До этого у меня был аналог, но я поменял его на совочек QPhone Professional, и разница, конечно, колоссальная. Телефон супер, недостатков не нашел.",1
"До этого у One был аналог, но я сменил его на IPhone Pro MAX, и разница, конечно, колоссальная. Телефон супер, Айс недостатков не нашел.",1
"Хороший, крепкий телефон, длительный срок службы аккумулятора, сканер отпечатков пальцев работает хорошо.",1
"Хороший, быстрый телефонный аппарат, долгий срок службы, сканер отпечатков пальцев работает хорошо.",1
"Хороший, крепкий телефон, долго держит заряд, сканер отпечатков пальцев работает комфортно.",1
"Хороший, быстрый звук речи, длительное время автономной работы, сканер отпечатков пальцев работает хорошо.",1
одно непрерывное достоинство,1
непревзойденное постоянное достоинство,1
одно непрерывное достоинство,1
несравненное постоянное достоинство,1
"Яркий, удобный, много места для хранения.",1
"Яркий, удобный, много места для хранения вещей.",1
"Яркий, удобный, на память",1
"Яркий, хорошо сделанный, много запоминаемости",1
просто мне это важно,1
просто мне это нравится,1
просто мне это нравится,1
просто мне это нравится,1
"Набор памяти, как оперативной, так и внутренней",1
"Полоса памяти компьютера, как оперативной, так и внутренней",1
"Памяти много, как для тупа, так и для дома",1
"Использование памяти, как памяти чтения/записи, так и внутренней.",1
Винтовка! Бомбический калориметр! Фейерверк!,1
Винтовка! Чувак! Крекер!,1
Винтовка! Бомбический калориметр! Бангер!,1
Винтовка! Турция! Крекер!,1
"Тонкий, компактный, стильный, большой проекционный экран",1
"Тонкий, составной, модный, замечательный экран",1
"Тонкий, органичный, модный, прекрасная маскировка.",1
"Тонкий, составной, стильный, фантастический экран.",1
"Опыт использования мелкий более года. Полет великолепен. Пользуюсь очень активно, батарея процентов 90.",1
"Опыт использования небольшой более года. Полет великолепен. Пользуюсь очень активно, батарея хс проц.",1
"Опыт использования чуть больше года. Полет великолепный. Атомный номер 53 пользуюсь очень активно, батарея процентов 90.",1
"Опыт использования чуть больше года. Полет великолепен. Пользуюсь дребезжанием активно, заградимость 90 процентов.",1
"Отличный телефон, плавный, красивый, отличная камера и приятный для глаз экран. По производительности всё просто отлично, в играх всё летает.",1
"Отличный телефон, плавный, красивый, отличная камера и приятный на глазах экран. По производительности всё просто отлично, в играх всё летает.",1
"Отличный телефон, плавный, красивый, с отличной камерой и приятным для глаз экраном. По производительности всё ровно, в играх всё летает.",1
"Отличный телефон, плавный, красивый, с отличной телекамерой и приятным для глаз экраном. По производительности все просто отлично, в игре все отлично.",1
"Пользуюсь около полугода, за это время не нашел ни одного недостатка. Что тут можно написать, если телефон не тормозит, не греется, отлично держит заряд и воспринимает характеристики, как будто я фотограф? ?!",1
"Пользуюсь около полугода, за это время не нашел ни одного недостатка. Что тут можно написать, если телефон не тормозит, не греется, абсолютно держит заряд и фотографирует, как будто я фотограф? ?!",1
"Пользуюсь около полугода, за это время не нашел ни одного недостатка. Что тут можно написать, если телефон не тормозит, не греется, полностью держит заряд и принимает снимки, как будто я фотограф? ?!",1
"Пользуюсь около полугода, за это время не нашел ни одного недостатка. Что тут можно написать, если телефон не тормозит, не греется, прекрасно держит заряд и снимает кино, как я фотограф? ?!",1
"Стильный, удобный, надежный телефон. Покупала не для себя, сама пользуюсь уже более 2,5 лет, отзывы только положительные! Памяти хватает на море фото, видео и приложений, съёмка длится до 2 дней первый год",1
"Стильный, удобный, надежный телефон. Себе не покупал, сам живу, пользуюсь уже более 2,5 лет, отзывы только положительные! Памяти хватает на море фото, видео и приложений, зарядки хватает до 2 дней первый год",1
"Модный, удобный, надежный телефон. Сингл покупал не себе, сам пользуюсь уже более 2,5 лет, отзывы только положительные! Памяти хватает на море фото, видео и приложений, зарядки хватает до 2 дней первый год",1
"Стильный, удобный, надежный телефон. Себе не покупала, сама пользуюсь уже более 2,5 лет, отзывы только положительные! Памяти хватает на море фото, видео и приложений, зарядки хватает до 2 дней первый год",1
"Мне нравится, что это не просто очередной смартфон, в нем есть что-то свое.",1
"Мне нравится, что это не просто очередной смартфон, в нем есть что-то свое.",1
"Мне бы хотелось, чтобы это был не просто очередной смартфон, в нем было что-то от информационных технологий.",1
"Важно, чтобы это был не просто очередной смартфон, в нем было что-то от информационных технологий.",1
"Красивая внешность, потрясающая производительность, камера и любимый производитель",1
"Красивый цвет, потрясающая производительность, камера и любимый производитель",1
"Красивая расцветка, потрясающая производительность, камера и любимый производитель.",1
"Прекрасная яркость, впечатляющее исполнение, камера и любимый производитель",1
"Это действительно быстрый смартфон. работа с файлами так, как будто все находится в оперативной памяти. Корпус очень гладкий и без лагов. ощущение, что у тебя в руках настоящее чудо инженерной науки. этот смартфон заслуживает уважения.",1
"Это будет действительно быстрый смартфон. работа с файлами так, как если бы все было в оперативной памяти. Оболочка будет очень гладкой и без лагов. ощущение, что у тебя в руках настоящее чудо техники. этот смартфон заслуживает уважения.",1
"Это действительно неподвижный смартфон. работа с файлами так, как если бы все было в оперативной памяти. Корпус сделан очень гладкий и без лагов. ощущение, что у тебя в руках настоящее чудо техники. этот смартфон заслуживает уважения.",1
"Это действительно расточительный смартфон. работа с файлом так, как если бы все было в оперативной памяти. Корпус очень гладкий и без лагов. ощущение, что у тебя в руках настоящее чудо техники. этот смартфон заслуживает уважения.",1
"Отличный новый продукт. Экран отличный, все четко видно даже при умеренной яркости.",1
"Отличный новый продукт. Экран отличный, все четко видно даже при ярком солнце.",1
"Укупорка нового математического продукта. Экран отличный, все хорошо видно даже на ярком солнце.",1
"Выпуск новых товаров. Экран отличный, все четко видно даже при ярком солнце.",1
"Ну в принципе не бракованный смартфон. Работает быстро, игры запускаются, не глючит.",1
"Ну в принципе неплохой смартфон. Работает быстро, игра запускается, не глючит",1
"Легко, в принципе неплохой смартфон. Рабочее пространство, запуск игры, не глючит",1
"Легко, в принципе, неплохой смартфон. Работает быстро, сюжет запускается, не глючит",1
"Все в форме денди, я в восторге!",1
"Все работает ожидаемо, One'1000 в восторге!",1
"Все работает по-крупному, Один транспорт!",1
"Все работает отлично, Сингл мб в восторге!",1
"Ну это Rapid Quantum Reckoning, он мощный, экран шустрый, слуховое ощущение невзрачное, внешний вид соответствует своей цене",1
"Ну, это Speedy Quantum Computing, он мощный, экран яркий, звук потрясающий, внешний вид противоречит его цене.",1
"Ну это Rapid Quantum Calculations, пусть он мощный, экран яркий, звук громкий, дух соответствует его урону",1
"Что ж, это приложение Rapid Quantum Calculations, оно мощное, экран блестящий, слуховое ощущение громкое, внешний вид соответствует своей цене.",1
"Отлично за свои деньги. Пользуюсь уже больше полугода, все отлично.",1
"Отлично за свои деньги. Информационными технологиями пользуюсь больше полугода, все ок.",1
"Отлично за свои деньги. Пользуюсь уже больше полугода, все ок.",1
"Отлично за свои деньги. Информационными технологиями пользуюсь больше полугода, все очень круто.",1
"квантовое сито, квантовый процессор, квантовый космос - какая радость",1
"квантовое сокрытие, квантовый процессор, квантовое население — какое наслаждение",1
"квантовое сокрытие, квантовый процессор, квантовый мир — какое наслаждение",1
"квантовая слепота, квантовый процессор, квантовая земная забота - какая радость",1
"кажется круто, я бы хотел, чтобы они поскорее выпустили следующий перевод",1
"кажется круто, надеюсь, они скоро выпустят следующий рендеринг",1
"выглядишь бессильным, я думаю, скоро выпустят следующую версию",1
"кажется круто, Йодин желает, чтобы они выпустили следующую версию в ближайшее время",1
"Недавно купил такой телефон; при выборе обращал внимание на цену и настройки камеры. Этот хороший пример соответствует цене; в мятно-зеленом цвете выглядит стильно и ярко. Но самое главное для меня — это возможности камеры, есть режимы для фото и тв, различные дополнительные настройки. Фотографии получаются детского качества, яркие и насыщенные.",1
"Недавно купил такой телефон; при выборе я обращал внимание на цену и настройки камеры. Эта модель соответствует цене; в мятно-зеленом цвете выглядит стильно и ярко. Но самое главное для меня — возможности камеры, есть режимы для фото и видео, разные дополнительные возможности. Фотографии получаются отличного качества, яркие и насыщенные.",1
"Недавно купил такой телефон; при выборе обращал внимание на цену и фон камеры. Эта модель соответствует стоимости; в мятно-зеленом цвете выглядит стильно и ярко. Но самое главное для меня — это возможности камеры, там и режимы для фото и видео, и различные дополнительные настройки. Фотографии получаются отличного качества, яркие и насыщенные.",1
"Недавно купил такой телефон; при выборе обращал внимание на цену и настройки камеры. Эта модель соответствует цене; в мятно-зеленом цвете выглядит стильно и ярко. Но самое главное для меня — это возможности камеры, есть режимы для фото и видео и разные дополнительные обстоятельства. Фотографии выходят отличные характерные, яркие и насыщенные.",1
"Меч лилии, я покупаю это! Этот телефон очень выделяется среди других.",1
"Рад, что купил его! Этот речевой звук фактически считается запрещенным среди других.",1
"Рад, что покупаю это! Этот звук действительно выделяется среди других.",1
Гладиолус я купила! Эти наушники действительно стоят под запретом среди других.,1
квантовый смартфон даже звучит нервно,1
квантовый смартфон даже звучит хладнокровно,1
квантовый смартфон даже представить себе круто,1
"квантовый смартфон, но звучит круто",1
1 очень любил информационные технологии,1
Эйсу очень нравится,1
Меня очень волнуют информационные технологии,1
Ане это очень важно,1
"Меня интересуют инаугурации и их разработка, поэтому я купил Qphone. Первое впечатление сложилось положительное.",1
"Меня интересуют стартапы и их технологии, поэтому One купил Qphone. Впечатление мирового класса положительное.",1
"Меня интересуют стартапы и их разработка, поэтому я купил Qphone. Первое впечатление положительное.",1
"Меня очень интересуют стартапы и их разработка, поэтому я купил Qphone. Начальное впечатление положительное.",1
"С телефоном все в порядке. Сначала Ане волновалась, но я рискнул и не пожалел об этом.",1
"Со звуком все в порядке. Сначала я волновалась, но рискнула и не пожалела.",1
"С телефоном все в порядке. В девичестве я волновалась, но Один рискнул и не пожалел.",1
"С телефоном все в порядке. Сначала волновался, только рискнул и не пожалел об информационных технологиях",1
Устройство для голодания,1
Устройство для голодания,1
Быстрый трюк,1
Быстрый поворот,1
"QPhone Pro MAX мне понравился, он полностью закрывает те потребности, которые должен закрывать телефон. Заряжается быстро, заряжаю на беспроводной зарядке. Камера качественная. Все очень четко и реалистично, особенно здорово смотреть фильмы или сериалы. Есть защита от воды и пыли. В целом все сделано качественно.",1
"QPhone Pro MAX мне понравился, он полностью закрывает все потребности, которые должен закрывать телефон. Заряжается быстро, заряжаю на беспроводной зарядке. Камера должна быть качественной. Все очень четко и реалистично, особенно здорово смотреть фильмы или сериалы. Есть защита от воды и пыли. В целом все сделать качественно.",1
"QPhone Pro MAX мне понравился, он полностью закрывает все потребности, которые должен закрывать телефон. Заряжается быстро, заряжаю на беспроводной зарядке. Камера качественная. Все очень четко и реалистично, в информационных технологиях особенно здорово смотреть фильмы или сериалы. Есть защита от воды и пыли. В целом все одето качественно.",1
"Мне нравится QPhone Professional MAX, он полностью покрывает все потребности, которые должен покрывать телефон. Заряжается быстро, заряжаю на беспроводной зарядке. Камера качественная. Все очень четко и реалистично, особенно здорово смотреть киносериал «Операционная». Есть защита от воды и пыли. В целом все сделано качественно.",1
"просто фотокамера, без лагов, без подтормаживаний",1
"хорошая телекамера, без нотоносца, без нотоносца",1
"хорошая телекамера, ни в то время, ни в то же время",1
"неиспорченная камера, нет времени, нет нотоносца",1
"Пока все в порядке, ничего не погнулось, быстрая зарядка работает хорошо, камера хорошая.",1
"Пока что полный, не зависает, быстрая зарядка действительно хорошая, камера хорошая",1
"Пока что почетно, ни одного зависания, быстрая зарядка очень хорошая, камера хорошая",1
"Пока все хорошо, никаких зависаний, плотная зарядка очень достойная, камера в порядке.",1
"Ничего большего от бюджетного телефона я не ожидал. Я покупаю это для своей сестры, ей это очень важно.",1
"Ничего большего от бюджетного телефона я не ожидал. Купил для сестры, ей очень нравятся информационные технологии.",1
"Ничего большего от бюджетного телефона я не ожидал. Я подкупаю информационные технологии для своей сестры, ей это очень нравится",1
"Ничего большего от бюджетного телефона я не ожидал. И купила для сестры, ей очень нравится.",1
"Отличный быстрый смартфон, яркая презентация, насыщенный цвет.",1
"Великолепный быстрый смартфон, яркий дисплей, насыщенные цвета.",1
"Первоклассный компактный смартфон, яркий видеодисплей, насыщенные цвета.",1
